NAMA,HARGA,LOKASI,LUAS_TANAH,LUAS_BANGUNAN,KAMAR_TIDUR,KAMAR_MANDI,SERTIFIKAT,DAYA_LISTRIK,GARASI,JUMLAH_LANTAI,DESKRIPSI,HARGA_NUMERIC,LUAS_TANAH_NUMERIC,LUAS_BANGUNAN_NUMERIC,KAMAR_TIDUR_NUMERIC,KAMAR_MANDI_NUMERIC
Rumah 2 Lantai Cluster Batununggal,"Rp 4,5 Miliar","Batununggal, Bandung",262 m²,350 m²,4.0,4.0,SHM,Lainnya,1.0,2.0,Dijual Rumah 2 Lantai di Batununggal   Spesifikasi :  * Rumah 2 Lantai  * LT 262 m2  * LB 350 m2  * Kamar Tidur 3+1 (Semua kamar tidur terdapat kamar mandi dalam)  * kamar Mandi 4+1 * Halaman Depan & Belakang yang sangat Luas  * Listrik 4400 watt  * Air Submersible kedalaman 70meter * Water Heater Solahart * Carport  * Garasi * SHM  * IMB  * One Gate system   FREE :  -Kitchen Set  -AC semua kamar & ruang tamu  -Water Heater Solahart,45000000000.0,262.0,350.0,4.0,4.0
Cluster Ready 2 Lantai Kalasan Residence Cimahi Selatan Bandung,Rp 960 Juta,"Cimahi, Bandung",60 m²,90 m²,3.0,3.0,SHM,2200 Watt,,2.0,"Cluster Kalasan Residence  Jl.Kalasan raya, komplek parmindo, kelurahan melong asri, Cimahi selatan, Bandung  Bisa Pesan 1 atau 2 Lantai  mengusung konsep rumah milenial modern memaksimalkan ruang dan lahan, design yg mewah dan modern, dengan bahan bangunan yg terbaik dikelasnya standard indonesia.  kemudahan akses ke pusat pusat perekonomian maupun perkantoran, dekat dengan rumah sakit dan pusat perbelanjaan, milikilah segera hunian yg anda idamkan sekarang juga.  Aksesnya dekat pintu tol baros Dekat RS avisena Dekat borma cijerah Akses ke pusat kuluner  Spesifikasi : Pondasi plat beton Dinding heabel (2 dinding) Lantai granit 60x60 Jendela aluminium Plafon gypsum Genteng multiroof Rangka baja ringan  Int/eks: 3 Kamar Tidur 3 Kamar Mandi Ruang Tamu Dapur Carport 2 Lantai Balkon  Legalitas SHM One Gate System  pembayaran: Cash bertahap-Cash Keras  Hub: 0877xxxxxxxx",960000000.0,60.0,90.0,3.0,3.0
Dijual Rumah Lokasi Cigadung Dago Bandung,Rp 2 Miliar,"Dago, Bandung",112 m²,138 m²,3.0,2.0,SHM,Lainnya,1.0,2.0,"Kesempatan terbatas buat Anda dapatkan rumah strategis dengan return investasi tinggi di Dago, Bandung.  Rumah ini menawarkan kelengkapan fasilitas serta memiliki jumlah lantai 2 yang siap untuk segera Anda miliki, utamanya bagi Anda yang mencari hunian di lokasi yang dekat dengan fasilitas umum.  Kondisi properti ini bagus dan memiliki desain unik yang menambah daya tarik dan estetika properti ini. Rumah ini berada di wilayah strategis.  Detail Properti ini adalah:    - Kamar Tidur: 3   - Kamar Mandi: 2   - Sertifikat: SHM - Sertifikat Hak Milik   - Kondisi Perabotan: Unfurnished  Tidak hanya itu, namun properti ini juga memiliki keunggulan sebagai berikut:    - Bisa KPR.   - Bebas Banjir.   - Dekat Universitas.   - Dekat Sekolah Negeri.   - Dekat Sekolah Internasional.   - Dekat Pusat Perbelanjaan.   - Dekat Fasilitas Kesehatan.   - Lokasi di Pusat Kota.   - Lingkungan Tenang dan Damai.   - Properti Bisa Nego.   - Lokasi Strategis.   - Lokasi Bebas Banjir.   - Bisa KPR.  Lokasi Strategis terletak di Dago, properti ini memudahkan akses Anda ke fasilitas-fasilitas utama dan unggulan.  Harga yang sangat kompetitif yaitu, Rp. 2.000.000.xxx, rumah ini siap menjadi milik Anda!  Nikmati segala kemudahan dan berbagai keunggulan menarik saat properti asri ini milik Anda.",2000000000.0,112.0,138.0,3.0,2.0
Rumah Murah Dekat Gt Buah Batu Stt Telkom Podomoro,Rp 285 Juta,"Buah Batu, Bandung",60 m²,36 m²,2.0,1.0,HGB,Lainnya,1.0,1.0,Pondasi batu kali  besi 10 full  bata merah press  genteng morando  rangka atap kayu  kusen pintu manglid  lantai granit  air sumur bor  listrik 1300 wat,285000000.0,60.0,36.0,2.0,1.0
Cluster Ready 2 Lantai Kalasan Residence Cimahi Selatan Bandung,Rp 960 Juta,"Cimahi, Bandung",60 m²,90 m²,3.0,3.0,SHM,2200 Watt,,2.0,"Cluster Kalasan Residence  Jl.Kalasan raya, komplek parmindo, kelurahan melong asri, Cimahi selatan, Bandung  Bisa Pesan 1 atau 2 Lantai  mengusung konsep rumah milenial modern memaksimalkan ruang dan lahan, design yg mewah dan modern, dengan bahan bangunan yg terbaik dikelasnya standard indonesia.  kemudahan akses ke pusat pusat perekonomian maupun perkantoran, dekat dengan rumah sakit dan pusat perbelanjaan, milikilah segera hunian yg anda idamkan sekarang juga.  Aksesnya dekat pintu tol baros Dekat RS avisena Dekat borma cijerah Akses ke pusat kuluner  Spesifikasi : Pondasi plat beton Dinding heabel (2 dinding) Lantai granit 60x60 Jendela aluminium Plafon gypsum Genteng multiroof Rangka baja ringan  Int/eks: 3 Kamar Tidur 3 Kamar Mandi Ruang Tamu Dapur Carport 2 Lantai Balkon  Legalitas SHM One Gate System  pembayaran: Cash bertahap-Cash Keras  Hub: 0877xxxxxxxx",960000000.0,60.0,90.0,3.0,3.0
Rumah 2 Lantai Cluster Batununggal,"Rp 4,5 Miliar","Batununggal, Bandung",262 m²,350 m²,4.0,4.0,SHM,Lainnya,1.0,2.0,Dijual Rumah 2 Lantai di Batununggal   Spesifikasi :  * Rumah 2 Lantai  * LT 262 m2  * LB 350 m2  * Kamar Tidur 3+1 (Semua kamar tidur terdapat kamar mandi dalam)  * kamar Mandi 4+1 * Halaman Depan & Belakang yang sangat Luas  * Listrik 4400 watt  * Air Submersible kedalaman 70meter * Water Heater Solahart * Carport  * Garasi * SHM  * IMB  * One Gate system   FREE :  -Kitchen Set  -AC semua kamar & ruang tamu  -Water Heater Solahart,45000000000.0,262.0,350.0,4.0,4.0
Dijual Rumah Sayap Dago Cocok untuk Usaha Kontrakan / Kost,"Rp 2,6 Miliar","Sayap Dago, Bandung",90 m²,100 m²,5.0,2.0,SHM,2200 Watt,1.0,2.0,"*FOR SALE*  *RUMAH COCOK UNTUK USAHA KOST DI LINGKUNGAN KAMPUS SAYAP DAGO*  Lokasi : Sangkuriang Kondisi : Semi Furnished Sertifikat : SHM  L.Tanah : 90 m² L.Bangunan : 100 m² Lebar Muka : 6 meter K.Tidur : 5 + 1 K.Mandi : 2 + 1 Listrik : 2200 watt Carport : 1 Garasi : 1 Hadap : selatan Bentuk Tanah : hook Sumber Air : PDAM  Akses jalan 2 mobil   *Price : Rp 2,6 M*  *DINI - 081720xxxx* *OneRealty*",26000000000.0,90.0,100.0,5.0,2.0
Dijual Rumah Lokasi Cigadung Dago Bandung,Rp 2 Miliar,"Dago, Bandung",112 m²,138 m²,3.0,2.0,SHM,Lainnya,1.0,2.0,"Kesempatan terbatas buat Anda dapatkan rumah strategis dengan return investasi tinggi di Dago, Bandung.  Rumah ini menawarkan kelengkapan fasilitas serta memiliki jumlah lantai 2 yang siap untuk segera Anda miliki, utamanya bagi Anda yang mencari hunian di lokasi yang dekat dengan fasilitas umum.  Kondisi properti ini bagus dan memiliki desain unik yang menambah daya tarik dan estetika properti ini. Rumah ini berada di wilayah strategis.  Detail Properti ini adalah:    - Kamar Tidur: 3   - Kamar Mandi: 2   - Sertifikat: SHM - Sertifikat Hak Milik   - Kondisi Perabotan: Unfurnished  Tidak hanya itu, namun properti ini juga memiliki keunggulan sebagai berikut:    - Bisa KPR.   - Bebas Banjir.   - Dekat Universitas.   - Dekat Sekolah Negeri.   - Dekat Sekolah Internasional.   - Dekat Pusat Perbelanjaan.   - Dekat Fasilitas Kesehatan.   - Lokasi di Pusat Kota.   - Lingkungan Tenang dan Damai.   - Properti Bisa Nego.   - Lokasi Strategis.   - Lokasi Bebas Banjir.   - Bisa KPR.  Lokasi Strategis terletak di Dago, properti ini memudahkan akses Anda ke fasilitas-fasilitas utama dan unggulan.  Harga yang sangat kompetitif yaitu, Rp. 2.000.000.xxx, rumah ini siap menjadi milik Anda!  Nikmati segala kemudahan dan berbagai keunggulan menarik saat properti asri ini milik Anda.",2000000000.0,112.0,138.0,3.0,2.0
Rumah Murah Dekat Gt Buah Batu Stt Telkom Podomoro,Rp 285 Juta,"Buah Batu, Bandung",60 m²,36 m²,2.0,1.0,HGB,Lainnya,1.0,1.0,Pondasi batu kali  besi 10 full  bata merah press  genteng morando  rangka atap kayu  kusen pintu manglid  lantai granit  air sumur bor  listrik 1300 wat,285000000.0,60.0,36.0,2.0,1.0
Rumah Murah Bebas Banjir,Rp 285 Juta,"Baleendah, Bandung",60 m²,36 m²,2.0,1.0,SHM,Lainnya,1.0,1.0,Pondasi batu kali  besi 10 full  bata merah press  genteng morando  rangka atap kayu  kusen pintu manglid  lantai granit 60x60  carport keramik 50x50  air sumur bor  listrik token 1300 wat,285000000.0,60.0,36.0,2.0,1.0
Rumah Indent Siap Huni di Perumahan Geoasri Lokasi Strategis Dekat Tengah Kota Bandung,Rp 390 Juta,"Arcamanik, Bandung",60 m²,36 m²,2.0,1.0,SHM,1300 Watt,,1.0,"Rumah bergaya minimalist modern di Arcamanik.  Miliki rumah 1 lantai yang modern ini,  dijual dengan pemandangan pegunungan yang menambah nilai estetika di lingkungan hunian. Rumah ini berada di wilayah strategis serta menghadirkan lingkungan fasilitas yang lengkap, cocok untuk Anda yang menginginkan hunian strategis.  Spesifikasi Utama Properti:    - Kamar Tidur: 2   - Kamar Mandi: 1   - Sertifikat: SHM - Sertifikat Hak Milik   - Daya Listrik: 1300 W   - Arah Bangunan: Menghadap Utara   - Kondisi Perabotan: Unfurnished  Dilengkapi dengan:    - Akses Parkir.   - Masjid.   - One Gate System.   - Tempat Jemuran.   - Tempat Jemuran.  Fitur unggulan:    - Siap Huni.   - Bebas Banjir.   - Lokasi Pinggiran Kota.   - Adem & Sejuk.   - Properti Bisa Nego.   - Lokasi Strategis.   - Lokasi Bebas Banjir.   - One Gate System.   - Bisa KPR.  Berlokasi di Arcamanik, rumah ini memberikan kemudahan akses ke berbagai fasilitas menarik.  Dengan harga Rp. 390.000.xxx, anda bisa memiliki hunian premium yang sudah siap huni dan bersertifikat SHM - Sertifikat Hak Milik. Jangan lewatkan kesempatan untuk menikmati investasi di kawasan Arcamanik yang nyaman ini!  Hubungi segera untuk informasi lebih lanjut!",390000000.0,60.0,36.0,2.0,1.0
"Rumah Murah Aset Bank Syariah Nasional di Batujajar, Kabupaten Bandung Barat",Rp 395 Juta,"Batujajar, Bandung Barat",72 m²,36 m²,2.0,1.0,SHM,Lainnya,,1.0,,395000000.0,72.0,36.0,2.0,1.0
"Rumah Murah Aset Bank Syariah Nasional di Batujajar, Kabupaten Bandung Barat",Rp 450 Juta,"Batujajar, Bandung Barat",72 m²,36 m²,2.0,1.0,SHM,Lainnya,,1.0,,450000000.0,72.0,36.0,2.0,1.0
"Rumah Murah Aset Bank Syariah Nasional di Bandung, Cinambo, Kota Bandung",Rp 825 Juta,"Cinambo, Bandung",90 m²,70 m²,3.0,2.0,SHM,Lainnya,,2.0,,825000000.0,90.0,70.0,3.0,2.0
"Rumah Murah Aset Bank Syariah Nasional di Batujajar, Kabupaten Bandung Barat",Rp 350 Juta,"Batujajar, Bandung Barat",72 m²,36 m²,2.0,1.0,SHM,Lainnya,,1.0,,350000000.0,72.0,36.0,2.0,1.0
"Rumah Murah Aset Bank Syariah Nasional di Padalarang, Kabupaten Bandung Barat",Rp 395 Juta,"Padalarang, Bandung Barat",85 m²,56 m²,2.0,1.0,SHM,Lainnya,,1.0,,395000000.0,85.0,56.0,2.0,1.0
"Rumah Murah Aset Bank Syariah Nasional di Cisarua, Kabupaten Bandung Barat",Rp 550 Juta,"Cisarua, Bandung Barat",115 m²,50 m²,2.0,1.0,SHM,Lainnya,,1.0,,550000000.0,115.0,50.0,2.0,1.0
